VideoID,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,Vote9,Vote10,Vote11,Vote12,Vote13,Vote14,Vote15,Vote16,Vote17,Vote18,Vote19,Vote20,StdDev,Mode,GA
10_00_0035,4,1,1,2,1,1,4,1,1,2,1,1,1,1,1,4,1,1,2,2,1.06,1,2
01_00_0020,1,1,2,1,2,1,4,2,1,1,1,1,1,4,1,1,1,1,1,2,0.92,1,1
09_00_0022,4,1,1,1,1,1,1,1,4,1,1,2,2,1,1,2,1,1,1,1,0.92,1,1
08_00_0009,2,4,1,1,3,1,2,1,4,1,1,1,1,2,1,1,4,3,1,4,1.2,1,2
09_00_0023,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,2,1,1,0.78,1,1
13_00_0007,2,1,1,1,1,1,1,3,4,1,1,3,1,2,1,1,1,4,1,2,1.01,1,1
01_00_0014,4,1,1,1,1,2,3,1,1,2,1,1,1,4,2,1,3,1,1,2,1,1,1
07_00_0016,1,1,3,1,1,2,3,4,1,1,2,2,1,2,1,1,1,1,1,4,1,1,1
24_00_0090,1,1,1,3,1,1,1,1,1,1,3,4,1,2,1,1,1,2,1,2,0.87,1,2
05_00_0030,4,1,2,1,2,2,4,3,2,4,1,1,1,1,1,1,1,2,3,1,1.09,1,1
05_00_0026,1,2,4,1,1,1,2,1,1,4,3,1,1,1,1,1,3,2,3,2,1.03,1,1
15_00_0034,1,1,1,1,1,3,1,2,1,1,4,1,1,1,1,1,1,1,2,2,0.8,1,1
15_00_0032,1,1,3,1,1,1,2,1,1,1,2,2,1,1,1,1,1,4,1,1,0.8,1,1
12_00_0025,2,1,4,3,3,1,3,2,1,1,3,1,1,1,1,1,1,1,1,1,0.96,1,2
01_00_0016,1,4,3,1,1,1,1,4,2,1,1,1,1,1,1,1,2,2,2,2,0.96,1,1
23_00_0015,1,3,2,1,1,4,1,3,1,4,4,1,1,1,2,2,2,1,3,1,1.12,1,2
15_00_0040,1,2,1,2,1,1,4,1,1,1,1,2,1,1,1,3,3,3,1,3,0.95,1,2
03_00_0012,2,2,4,1,4,1,1,1,2,1,3,2,2,2,1,1,1,4,1,1,1.06,1,1
17_00_0018,1,1,2,1,2,1,1,1,3,4,4,1,3,1,1,1,3,3,2,1,1.06,1,1
15_00_0027,1,2,3,1,2,2,1,3,1,4,4,2,1,1,4,1,2,1,1,4,1.16,1,2
17_00_0006,1,1,2,1,3,1,4,1,2,4,4,1,2,1,1,3,4,1,2,2,1.16,1,1
14_00_0113,3,1,3,1,1,1,2,1,3,1,1,1,1,1,1,2,1,4,3,3,0.99,1,3
13_00_0018,1,2,3,1,1,1,4,3,2,1,2,1,1,1,1,1,4,2,2,1,0.99,1,1
05_00_0020,1,1,3,1,2,1,3,1,4,1,1,2,3,1,4,3,4,4,4,1,1.26,1,3
07_00_0002,1,1,1,1,2,3,4,2,4,4,1,2,2,1,1,4,4,1,2,4,1.26,1,2
08_00_0021,3,1,4,3,3,4,1,4,1,1,1,1,1,2,1,1,4,3,2,2,1.19,1,3
02_00_0054,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,2,0.7,1,1
15_00_0029,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0.7,1,1
17_00_0023,3,1,3,4,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,0.86,1,1
03_00_0011,3,2,1,1,1,1,2,1,2,2,1,1,1,3,4,2,1,1,1,1,0.86,1,1
22_00_0049,4,3,1,1,2,1,1,1,3,1,3,1,1,2,1,1,1,2,1,2,0.91,1,4
15_00_0044,1,2,1,1,3,1,2,3,1,1,4,1,1,2,1,1,3,2,1,1,0.91,1,3
19_00_0011,2,1,2,2,1,1,2,4,2,1,4,1,1,1,1,1,2,2,1,1,0.91,1,2
12_00_0024,2,1,2,1,1,1,1,1,3,3,1,1,3,2,1,1,4,1,2,1,0.91,1,2
24_00_0107,2,1,1,1,1,2,4,3,1,4,1,1,2,2,2,3,2,1,1,4,1.07,1,2
05_00_0028,2,2,1,3,2,1,1,3,2,1,1,4,4,2,4,1,2,1,1,1,1.07,1,1
24_00_0019,1,3,2,1,1,3,1,3,1,4,4,1,1,1,2,3,2,2,4,1,1.12,1,1
09_00_0021,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,4,1,1,3,2,0.8,1,1
03_00_0013,1,3,2,4,1,1,2,3,1,4,2,3,1,1,1,2,1,2,1,1,1.01,1,2
02_00_0031,1,1,2,3,4,1,1,1,3,4,1,2,1,2,1,2,1,3,1,2,1.01,1,1
13_00_0008,1,2,1,4,1,1,1,1,1,2,3,2,1,3,1,1,1,3,2,2,0.9,1,1
17_00_0007,1,2,1,1,3,4,3,1,2,1,1,1,3,1,4,1,3,3,3,4,1.15,1,2
15_00_0022,2,2,1,3,1,2,1,1,2,1,1,2,1,4,4,1,2,1,2,1,0.94,1,2
13_00_0006,1,3,1,1,1,3,1,3,2,1,3,1,3,1,3,1,1,3,1,1,0.94,1,1
17_00_0025,1,4,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,0.73,1,1
23_00_0027,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,0.73,1,1
15_00_0035,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,1,1,1,1,2,0.73,1,1
11_00_0010,1,2,1,1,2,1,3,4,1,3,1,1,2,4,2,1,3,2,1,2,0.99,1,1
22_00_0048,2,3,2,2,4,2,3,3,1,1,4,1,3,1,1,2,1,4,1,1,1.09,1,4
02_00_0011,2,2,4,1,1,3,1,4,3,2,1,1,1,3,3,1,2,2,4,1,1.09,1,2
03_00_0003,1,2,2,2,2,3,2,2,1,1,1,2,1,1,4,4,4,1,2,4,1.09,2,1
18_00_0053,1,2,3,1,1,1,4,2,1,1,3,2,1,4,3,1,4,2,2,3,1.09,1,1
06_00_0032,3,2,4,2,1,1,2,1,3,3,1,1,2,3,2,1,1,1,1,1,0.93,1,3
01_00_0002,1,2,4,4,1,3,1,1,3,3,1,1,1,2,4,3,3,2,4,1,1.18,1,3
23_00_0017,2,1,2,1,1,2,2,1,4,2,4,1,4,1,4,2,3,4,3,1,1.18,1,2
15_00_0006,1,1,3,1,1,2,1,3,2,1,1,4,3,1,2,1,3,4,3,3,1.07,1,1
20_00_0017,2,1,4,4,2,1,1,1,1,3,2,3,2,1,3,4,1,2,4,2,1.12,1,2
05_00_0029,1,2,2,1,3,2,1,1,1,2,2,1,2,3,4,2,1,1,4,1,0.96,1,2
11_00_0013,1,4,1,1,1,2,1,2,1,1,1,2,3,4,2,1,2,3,2,2,0.96,1,1
02_00_0010,1,1,3,2,2,2,1,2,2,3,4,4,1,4,2,2,4,1,1,1,1.11,1,2
02_00_0046,1,2,2,1,2,3,1,2,2,4,4,1,2,4,4,1,1,1,3,2,1.11,1,2
22_00_0042,1,1,1,1,2,1,2,2,1,1,3,1,4,2,2,1,1,1,2,1,0.8,1,3
21_00_0015,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,4,2,3,1,0.8,1,2
13_00_0002,1,1,1,2,1,1,2,3,3,1,1,2,2,1,1,1,2,2,4,1,0.85,1,1
17_00_0021,2,2,1,1,1,1,1,1,2,2,1,3,1,2,1,1,4,2,3,1,0.85,1,1
01_00_0017,2,4,1,1,2,3,1,1,1,1,1,1,2,1,2,1,2,1,1,2,0.8,1,1
01_00_0015,1,2,1,2,2,2,4,3,1,2,1,1,1,1,2,1,1,1,1,1,0.8,1,1
11_00_0016,3,2,1,2,4,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,0.8,1,1
06_00_0033,2,4,3,2,1,1,2,4,3,2,4,1,1,1,1,1,2,2,3,2,1.04,1,4
08_00_0016,1,4,1,2,3,2,1,2,1,2,1,2,1,2,1,1,2,2,4,3,0.94,1,2
14_00_0115,2,2,2,1,1,1,1,1,3,1,1,1,3,1,1,2,2,4,2,2,0.84,1,2
14_00_0116,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,3,1,2,0.74,1,2
15_00_0043,1,1,2,1,2,2,3,1,1,3,1,1,1,1,1,1,1,1,1,3,0.74,1,2
07_00_0015,2,1,4,2,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,0.74,1,1
02_00_0049,1,1,1,1,2,1,1,1,2,1,3,2,1,3,1,1,1,2,3,1,0.74,1,1
05_00_0019,1,2,3,2,3,2,1,4,2,3,4,4,1,4,1,2,3,1,1,1,1.13,1,1
07_00_0019,3,1,3,1,4,2,2,4,1,1,3,2,1,3,3,1,2,1,2,4,1.08,1,1
18_00_0051,1,1,1,2,1,2,3,1,2,3,1,4,4,2,3,1,1,2,3,3,1.02,1,1
23_00_0020,3,2,1,2,1,2,2,2,4,2,1,1,1,4,3,1,3,2,1,1,0.97,1,2
12_00_0016,4,3,2,2,2,2,2,1,1,1,1,3,1,1,2,1,1,2,4,3,0.97,1,2
19_00_0006,2,1,3,1,1,1,2,2,4,2,2,1,1,2,3,1,3,2,1,1,0.87,1,1
07_00_0014,2,2,1,1,1,1,1,3,2,1,1,1,4,2,2,2,2,3,1,3,0.87,1,1
06_00_0037,2,2,1,4,3,4,1,1,2,1,2,2,2,3,4,1,1,3,1,3,1.06,1,4
03_00_0007,1,1,4,3,1,2,2,2,2,4,1,1,2,4,4,2,1,2,2,2,1.06,2,2
14_00_0074,3,1,1,1,2,2,4,2,1,4,1,4,4,1,4,2,2,3,2,3,1.15,1,1
19_00_0019,1,2,3,1,1,1,3,2,3,1,2,2,2,1,1,1,1,3,4,2,0.91,1,2
12_00_0023,3,1,3,4,1,2,1,2,2,1,1,3,3,2,1,1,1,2,1,2,0.91,1,1
13_00_0017,2,2,4,2,2,1,2,1,1,2,2,3,4,1,1,2,1,1,2,1,0.91,2,2
10_00_0043,2,2,1,2,2,3,1,3,1,1,1,3,2,2,1,1,4,3,1,1,0.91,1,1
12_00_0015,3,1,1,1,3,4,3,3,2,2,1,4,1,1,2,1,3,3,4,3,1.1,1,1
11_00_0008,1,2,3,4,2,3,3,1,1,4,1,1,4,4,1,4,4,2,4,3,1.24,4,3
09_00_0018,1,1,1,2,3,4,2,1,1,1,2,2,3,2,2,2,2,3,4,1,0.95,2,1
