VideoID,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,Vote9,Vote10,Vote11,Vote12,Vote13,Vote14,Vote15,Vote16,Vote17,Vote18,Vote19,Vote20,StdDev,Mode,GA
24_04_01,4,1,3,2,2,3,2,2,1,2,1,2,3,2,2,3,3,3,4,3,0.86023252670426265,2,2
28_02_01,4,4,2,4,3,3,2,4,3,2,4,3,3,4,3,2,4,3,3,2,0.76811457478686085,3,3
11_01_02,1,2,3,1,3,1,4,2,3,3,3,2,2,1,3,4,1,1,3,2,0.99373034571758956,3,1
25_00_38,4,4,2,4,2,4,1,4,4,2,3,4,4,2,3,2,3,4,2,4,0.99498743710662008,4,3
24_03_02,3,4,2,3,4,2,4,1,4,1,4,4,3,2,3,4,4,1,4,2,1.11691539518443395,4,3
23_00_08,2,2,1,3,3,1,2,2,3,3,1,2,4,1,2,1,2,2,2,2,0.80467384697155397,2,2
26_00_01,2,2,4,3,4,2,2,2,3,1,2,1,2,2,4,1,2,1,3,2,0.94207218407083859,2,3
18_01_01,1,2,3,1,4,1,3,1,3,3,1,2,2,1,3,2,1,2,2,3,0.92059763197609834,1,2
25_00_35,4,2,3,4,4,4,2,3,4,4,1,4,3,4,3,2,2,3,4,4,0.92736184954957046,4,3
16_01_00,3,4,2,3,4,2,4,4,4,3,4,3,2,3,3,4,4,4,3,4,0.72629195231669752,4,4
23_00_07,1,1,3,1,1,1,2,2,1,1,4,2,2,3,3,2,2,3,4,2,0.97339611669658910,1,2
13_00_06,2,1,1,4,3,2,2,2,2,3,1,4,4,3,2,1,2,2,3,1,0.99373034571758956,2,1
13_06_00,2,1,3,1,2,4,1,3,2,2,2,3,4,3,3,2,3,4,3,3,0.92059763197609867,3,4
19_03_01,2,2,3,3,4,2,2,3,2,4,4,3,4,1,2,2,4,3,4,3,0.90967026993301259,2,2
16_00_10,2,1,2,2,2,4,1,4,1,1,3,1,1,2,2,3,1,1,2,4,1.04880884817015163,1,2
24_04_02,3,3,2,2,3,1,4,1,1,2,3,2,4,2,3,2,2,2,2,3,0.85293610546159904,2,2
25_05_05,3,1,3,4,1,1,2,3,2,3,4,2,3,1,2,3,1,3,3,3,0.96953597148326576,3,2
24_04_00,2,2,1,3,2,2,2,3,2,2,4,3,1,1,3,4,1,1,3,3,0.94207218407083859,2,1
27_02_00,3,4,3,4,2,2,2,4,2,2,2,3,4,2,3,3,4,3,2,3,0.79214897588774313,2,2
25_00_34,1,4,2,4,4,3,4,3,3,2,4,4,2,4,3,4,4,4,3,2,0.92736184954957057,4,3
13_08_00,4,2,3,1,4,4,3,2,4,4,3,3,4,4,3,1,3,3,4,3,0.94339811320566047,3,3
23_00_05,3,2,1,1,3,2,3,1,3,1,1,3,3,1,1,1,1,1,4,1,1.01365674663566474,1,2
23_00_09,4,1,3,3,2,1,3,3,2,1,2,1,1,2,3,1,2,3,4,2,0.97979589711327120,1,1
25_05_07,4,2,1,3,2,2,2,1,1,3,2,1,1,3,3,2,2,2,2,1,0.83666002653407556,2,1
