VideoID,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,Vote9,Vote10,Vote11,Vote12,Vote13,Vote14,Vote15,Vote16,Vote17,Vote18,Vote19,Vote20,StdDev,Mode,GA
24_04_24,1,1,2,4,3,3,1,3,3,3,1,1,2,3,4,1,1,3,1,2,1.06183802907976510,1,2
20_02_02,2,3,2,2,3,4,2,2,1,4,2,4,4,2,3,2,2,1,3,2,0.92195444572928875,2,1
28_06_03,4,4,4,4,3,3,3,3,3,4,2,2,3,2,3,3,2,4,4,4,0.74833147735478833,3,3
25_00_53,4,4,4,4,4,3,4,4,4,3,4,4,4,2,4,1,2,2,3,2,0.95393920141694577,4,4
28_11_28,1,2,3,2,2,3,2,4,1,4,2,3,2,3,2,2,3,1,1,4,0.96306801421291111,2,2
10_04_05,2,2,1,3,4,3,4,1,2,1,1,2,1,1,2,1,1,1,2,2,0.96306801421291122,1,1
28_06_00,2,4,4,4,3,3,4,4,4,4,2,4,4,3,4,1,4,1,4,1,1.12249721603218244,4,4
25_05_22,3,2,3,4,3,3,1,4,2,4,4,4,3,2,3,3,4,4,4,4,0.87177978870813488,4,4
18_03_01,4,2,3,3,3,3,3,2,4,4,2,1,2,3,3,3,3,1,3,1,0.90967026993301259,3,4
20_02_03,4,2,1,1,3,3,1,2,3,4,2,1,2,3,2,2,3,1,2,3,0.94207218407083859,2,2
25_01_01,4,2,1,1,3,3,3,2,1,3,2,2,3,2,2,3,2,1,2,2,0.81240384046359626,2,2
28_05_07,1,1,2,4,2,2,2,2,1,2,2,2,2,2,3,3,2,1,2,1,0.73993242934743719,2,3
20_03_06,2,2,2,1,4,4,3,3,1,3,1,4,3,3,1,2,2,2,3,2,0.96953597148326576,2,3
19_03_04,4,4,1,2,4,4,2,4,4,2,4,4,3,4,2,2,3,1,4,2,1.09544511501033215,4,1
25_05_19,2,1,2,3,2,2,3,3,3,2,1,2,1,3,3,4,1,2,1,1,0.88881944173155891,2,2
28_10_00,3,1,4,2,3,2,3,3,2,3,4,3,3,4,3,3,4,2,3,2,0.79214897588774313,3,2
28_09_01,2,1,3,1,2,3,2,4,4,4,3,4,3,2,3,3,4,4,4,4,1.00000000000000000,4,3
27_03_01,3,1,2,3,2,2,3,4,1,2,1,3,2,1,1,2,1,4,2,2,0.94339811320566058,2,2
20_03_01,3,3,4,4,4,1,3,4,3,3,2,3,2,3,1,3,1,1,1,2,1.07121426428142752,3,3
21_06_00,1,2,2,1,1,2,1,4,2,1,4,1,1,2,1,1,3,3,1,1,0.99373034571758956,1,2
20_02_00,2,1,3,4,2,2,2,2,2,3,1,3,4,1,3,2,2,4,3,3,0.92059763197609856,2,2
25_05_11,2,4,4,4,1,2,3,1,4,1,3,3,3,2,3,1,4,4,4,1,1.18743420870379168,4,2
25_00_46,3,4,4,4,2,4,2,4,4,3,4,4,4,4,4,3,2,2,4,4,0.80467384697155420,4,4
25_05_00,2,2,2,2,2,2,2,2,2,4,2,2,1,3,2,4,4,2,2,1,0.82915619758884995,2,3
19_05_03,1,2,2,1,1,3,1,3,1,1,1,1,1,3,1,3,2,1,1,1,0.80467384697155420,1,3
19_03_03,1,2,1,2,4,3,1,1,1,2,1,3,1,1,3,1,1,1,2,1,0.90967026993301237,1,1
20_03_13,2,1,2,2,1,3,1,2,2,3,1,4,2,4,1,2,2,1,1,1,0.94339811320566036,1,1
17_02_03,3,3,2,1,2,4,1,3,2,4,2,3,4,3,3,2,1,2,3,2,0.92195444572928875,2,2
25_00_51,3,2,2,3,4,4,1,2,4,2,2,2,3,2,4,4,1,4,2,3,1.00498756211208895,2,2
25_00_41,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,3,3,3,0.45825756949558405,4,4
19_03_02,2,1,2,3,2,4,3,1,2,1,1,1,4,2,2,1,2,1,1,1,0.96306801421291122,1,1
25_05_12,4,2,2,2,2,1,4,1,2,1,3,3,3,4,4,1,3,1,4,4,1.16081867662438998,4,3
24_04_11,4,2,4,4,4,3,1,4,4,3,3,2,1,1,1,4,1,2,2,3,1.19478031453485212,4,3
13_01_02,4,2,3,2,3,2,1,3,1,3,1,2,1,3,1,4,3,2,3,4,1.01980390271855681,3,1
18_05_00,3,4,3,4,3,2,1,3,2,3,3,3,4,3,4,1,4,4,2,1,1.01365674663566474,3,2
28_06_02,3,3,4,4,2,3,4,4,4,2,3,4,4,3,1,3,4,2,4,2,0.90967026993301259,4,4
28_01_09,4,3,3,2,2,2,2,2,3,4,3,2,4,4,3,3,2,1,2,4,0.88741196746494244,2,3
25_03_00,3,4,4,2,2,2,3,2,1,1,2,2,2,3,1,3,4,2,3,2,0.91651513899116788,2,2
13_01_04,3,4,3,2,1,3,3,2,1,4,1,3,1,2,2,3,2,3,1,2,0.95393920141694566,3,1
21_02_03,4,4,4,2,2,1,4,3,2,3,4,3,3,3,4,1,4,2,1,4,1.09087121146357147,4,3
16_00_29,3,3,3,3,4,2,2,3,1,1,2,2,2,1,2,1,2,3,2,4,0.90000000000000002,2,1
24_07_01,4,2,4,4,3,3,4,3,3,4,4,3,4,4,3,4,2,3,3,3,0.65383484153110105,3,4
