VideoID,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,Vote9,Vote10,Vote11,Vote12,Vote13,Vote14,Vote15,Vote16,Vote17,Vote18,Vote19,Vote20,StdDev,Mode,GA
25_08_01,3,2,4,4,4,2,2,4,3,3,3,1,2,3,4,4,4,3,2,1,0.99498743710661997,4,3
17_02_14,2,4,4,4,4,3,3,4,2,4,4,4,1,4,3,4,4,3,2,3,0.90000000000000002,4,4
19_05_07,1,2,1,2,2,3,1,1,2,4,1,2,1,3,2,1,2,2,1,1,0.82915619758884995,1,2
23_02_09,2,1,1,3,1,1,1,1,4,1,1,2,1,2,3,2,4,2,1,1,0.99373034571758956,1,2
28_01_12,3,1,1,4,4,3,3,4,3,3,4,4,3,4,3,3,3,1,1,3,1.04403065089105507,3,2
20_03_19,4,4,1,2,4,2,2,1,2,4,1,3,1,3,2,4,2,1,1,2,1.14455231422595971,2,2
18_07_14,3,3,3,4,4,1,1,2,2,3,4,1,4,4,1,2,2,3,3,4,1.10000000000000009,3,4
28_08_03,4,4,2,1,4,3,1,4,3,3,4,3,3,3,4,3,1,4,4,3,1.02347447452293605,3,3
11_03_11,1,1,1,1,1,1,1,1,3,4,1,1,1,3,1,3,1,1,1,1,0.92059763197609856,1,2
25_05_43,4,1,3,4,4,4,1,4,3,4,4,3,4,3,4,3,4,4,4,4,0.92059763197609856,4,4
18_07_10,2,3,4,4,4,3,4,2,3,4,4,4,3,4,3,3,4,3,3,3,0.65383484153110105,3,4
23_02_04,4,1,4,3,1,2,1,3,2,4,2,4,4,3,4,4,4,2,2,4,1.13578166916005485,4,3
24_10_02,1,1,4,4,1,2,2,1,2,1,3,1,1,1,3,2,2,2,3,2,0.97339611669658921,1,3
16_02_01,4,3,4,4,4,2,4,1,2,4,3,3,3,4,2,2,3,2,4,2,0.94868329805051377,4,3
28_02_08,3,1,3,4,3,3,3,4,2,2,3,2,3,2,3,3,3,1,4,4,0.87177978870813488,3,4
25_05_33,2,3,3,4,3,3,2,2,3,1,1,3,1,3,1,4,2,1,2,3,0.96306801421291099,3,3
20_03_12,3,3,1,1,1,2,1,2,1,2,3,2,3,2,1,1,2,3,2,1,0.79214897588774313,1,3
12_04_08,3,4,3,3,3,4,3,3,2,3,3,3,3,4,4,2,4,4,4,1,0.79214897588774302,3,3
11_03_14,4,4,4,4,4,3,1,3,3,4,4,4,2,4,4,1,3,1,3,3,1.06183802907976510,4,4
