VideoID,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,Vote9,Vote10,Vote11,Vote12,Vote13,Vote14,Vote15,Vote16,Vote17,Vote18,Vote19,Vote20,StdDev,Mode,GA
27_07_03,2,4,2,3,2,3,2,3,2,2,2,4,4,2,3,4,4,4,3,4,0.86458082328952901,2,3
18_09_01,3,3,1,2,3,2,1,4,2,3,2,3,4,3,2,4,3,3,2,4,0.90000000000000002,3,2
18_08_19,2,3,2,3,2,3,2,4,3,2,3,4,4,1,3,4,4,4,3,4,0.89442719099991586,3,3
15_04_01,4,4,1,4,2,1,4,4,3,3,2,2,4,3,3,4,3,4,1,4,1.09544511501033215,4,4
19_05_15,4,4,4,3,2,4,3,4,4,4,4,3,4,2,4,1,2,4,4,1,1.04283268073071045,4,2
18_08_08,4,2,2,3,3,2,3,2,3,1,4,2,4,2,4,4,2,2,4,2,0.94207218407083859,2,3
10_06_04,4,4,4,3,3,4,2,4,3,3,4,3,4,4,4,3,1,4,4,3,0.80000000000000004,4,3
10_06_07,1,2,1,2,1,2,2,1,2,1,1,1,2,3,2,1,3,4,4,2,0.94339811320566036,1,2
16_03_19,4,1,4,3,2,2,2,3,2,4,3,2,2,2,2,2,3,2,4,1,0.92195444572928875,2,4
18_09_04,2,3,1,2,3,1,1,3,2,4,1,4,4,2,2,4,1,2,3,2,1.06183802907976510,2,2
15_03_00,3,2,3,4,3,2,2,4,4,2,4,2,1,2,4,1,4,4,2,1,1.09999999999999987,2,3
17_04_09,1,2,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,0.50990195135927863,1,2
18_08_04,3,4,4,3,3,2,3,2,2,4,2,2,4,1,2,3,4,4,2,2,0.92736184954957046,2,1
09_04_01,2,2,4,4,2,4,3,4,4,4,4,1,2,4,4,4,3,4,3,2,0.97979589711327131,4,2
08_02_02,2,2,2,2,4,3,2,4,2,2,1,4,4,2,4,1,2,2,2,1,1.01980390271855703,2,3
16_03_07,2,2,2,4,2,2,2,3,4,2,2,4,4,2,2,4,4,4,3,4,0.94339811320566047,2,4
15_04_03,3,2,4,4,1,1,1,1,1,2,2,4,2,2,2,1,2,4,1,1,1.11691539518443395,1,1
16_03_23,3,1,3,4,4,3,4,4,3,3,4,2,3,3,3,4,3,2,3,3,0.76811457478686085,3,3
18_08_07,2,4,4,3,2,4,2,4,3,4,4,3,4,1,4,2,3,4,4,3,0.92736184954957035,4,2
16_03_24,1,2,1,2,1,2,1,1,3,1,2,1,1,1,2,2,1,1,2,1,0.58949130612757972,1,2
14_03_00,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,0.45825756949558388,1,1
10_06_10,4,1,4,4,3,3,2,1,4,4,4,3,2,2,4,1,4,2,2,3,1.10792599030801675,4,1
17_05_01,4,2,3,2,4,2,3,3,4,2,4,4,4,2,4,4,2,4,4,4,0.88741196746494244,4,3
18_08_20,2,4,4,3,4,4,3,2,4,4,4,2,4,2,4,4,4,4,2,4,0.86023252670426253,4,3
27_07_04,1,2,2,1,1,1,1,1,1,1,1,1,4,1,3,1,1,2,2,1,0.80467384697155420,1,1
10_06_09,2,4,3,4,2,2,3,3,4,4,3,4,4,4,3,4,4,3,3,4,0.72629195231669752,4,2
14_02_01,1,2,2,2,2,2,2,4,2,2,2,3,1,1,1,1,2,1,2,4,0.86458082328952912,2,1
11_06_01,2,3,2,3,4,2,2,1,2,2,4,2,4,4,2,4,2,2,3,4,0.95393920141694577,2,1
09_04_03,2,4,4,2,1,1,1,2,1,1,4,2,4,1,2,3,1,2,4,2,1.16619037896905997,1,2
24_10_15,4,4,4,2,2,2,4,4,3,3,4,4,3,2,3,4,3,3,4,4,0.78102496759066542,4,4
24_11_12,2,1,3,3,2,2,2,4,3,2,2,4,1,2,2,3,4,2,2,4,0.92195444572928875,2,3
24_11_07,3,4,2,3,2,2,2,2,1,4,2,2,4,4,4,3,4,2,2,2,0.95393920141694577,2,1
09_05_03,4,4,4,3,4,3,4,4,4,4,4,4,3,4,3,3,4,3,4,4,0.45825756949558405,4,3
17_04_04,2,3,2,2,3,2,3,4,3,2,3,4,4,2,3,4,4,4,3,4,0.80467384697155397,3,3
09_05_05,3,3,4,4,4,2,4,4,4,4,4,3,4,4,4,3,4,4,3,4,0.57227615711298008,4,3
21_13_00,1,2,2,2,4,3,4,4,3,2,4,2,4,3,1,3,2,2,2,2,0.96953597148326576,2,3
09_06_01,2,4,4,4,3,4,4,2,2,2,4,4,2,3,4,4,4,3,3,4,0.84261497731763579,4,3
12_06_03,2,4,2,4,4,4,4,4,2,2,4,4,4,1,1,4,3,4,4,3,1.07703296142690097,4,3
24_10_14,2,4,4,3,4,4,4,2,3,4,3,4,4,4,4,4,4,4,2,3,0.74161984870956632,4,3
17_04_07,4,4,4,3,4,4,2,2,3,4,4,3,4,2,4,3,4,4,4,4,0.74161984870956632,4,4
24_11_10,4,3,4,3,2,3,4,2,3,2,2,1,2,3,3,4,2,4,4,2,0.90967026993301270,2,2
24_11_09,1,1,1,1,2,1,1,2,1,4,1,1,1,2,4,2,1,2,1,2,0.91651513899116810,1,2
12_07_02,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,4,1,0.79214897588774313,1,1
12_07_08,4,4,4,4,4,3,2,2,4,2,3,3,1,4,4,4,2,4,4,4,0.95393920141694577,4,3
16_03_26,2,1,2,3,2,1,1,2,2,2,2,1,2,1,3,2,1,2,2,2,0.59999999999999998,2,2
09_05_02,2,3,4,1,2,3,3,2,4,4,4,4,4,3,4,4,4,4,2,2,0.96306801421291122,4,4
23_10_00,2,2,4,3,3,2,4,3,2,1,2,1,2,2,2,2,3,2,1,2,0.82915619758884995,2,1
09_05_06,1,4,4,2,2,1,3,4,1,3,4,2,4,1,4,3,2,4,4,2,1.17792189893897459,4,1
18_09_00,2,3,2,3,4,3,2,4,3,2,3,4,3,3,2,4,4,3,3,2,0.73993242934743708,3,2
16_03_30,2,4,2,3,4,1,3,4,4,4,3,2,4,1,2,2,3,4,4,4,1.04880884817015163,4,4
14_03_01,3,1,2,3,1,1,1,1,1,1,1,4,1,4,3,1,1,4,1,2,1.15217186218029122,1,1
20_05_03,4,1,1,3,2,2,3,4,3,2,1,3,4,1,2,3,2,4,4,3,1.06770782520313112,3,2
12_07_07,3,2,4,4,4,2,3,4,4,4,4,3,4,4,4,3,3,4,3,3,0.66895440801298278,4,4
20_05_04,1,1,2,3,1,4,1,1,3,1,3,1,1,1,1,4,1,4,2,3,1.16081867662438998,1,1
26_03_06,4,2,4,1,2,4,2,3,2,2,4,4,4,2,2,1,4,1,4,4,1.16619037896906019,4,2
26_03_01,2,4,4,3,4,3,4,2,3,4,3,4,4,3,4,4,4,4,2,3,0.73484692283495345,4,3
09_04_02,2,4,4,3,4,3,4,4,2,4,3,4,4,3,4,4,4,4,4,4,0.66332495807108016,4,3
